"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"323"	"eubm"	"age"	23	"dot_wken_hb_mult"	0.55	"mult weight (hb)"
"324"	"eubm"	"age"	24	"dot_wken_hb_mult"	0.69	"mult weight (hb)"
"325"	"eubm"	"age"	25	"dot_wken_hb_mult"	0.66	"mult weight (hb)"
"326"	"eubm"	"age"	26	"dot_wken_hb_mult"	0.65	"mult weight (hb)"
"327"	"eubm"	"age"	27	"dot_wken_hb_mult"	0.65	"mult weight (hb)"
"328"	"eubm"	"age"	28	"dot_wken_hb_mult"	0.63	"mult weight (hb)"
"329"	"eubm"	"age"	29	"dot_wken_hb_mult"	0.6	"mult weight (hb)"
"330"	"eubm"	"age"	30	"dot_wken_hb_mult"	0.63	"mult weight (hb)"
"331"	"eubm"	"age"	31	"dot_wken_hb_mult"	0.66	"mult weight (hb)"
"332"	"eubm"	"age"	32	"dot_wken_hb_mult"	0.66	"mult weight (hb)"
"333"	"eubm"	"age"	33	"dot_wken_hb_mult"	0.63	"mult weight (hb)"
